O*NET-SOC Code	Related O*NET-SOC Code	Index
13-1121.00	11-2021.00	7
13-1121.00	27-3043.04	8
13-1121.00	39-9032.00	9
13-1121.00	39-7012.00	10
13-1141.00	11-3111.00	1
13-1141.00	13-2031.00	2
13-1141.00	13-1161.00	3
13-1141.00	13-2041.00	4
13-1141.00	13-2099.02	5
13-1141.00	13-2051.00	6
13-1141.00	13-2053.00	7
13-1141.00	13-2052.00	8
13-1141.00	13-1071.00	9
13-1141.00	13-1111.00	10
13-1151.00	11-3131.00	1
13-1151.00	13-1111.00	2
13-1151.00	13-1071.00	3
13-1151.00	11-3121.00	4
13-1151.00	21-1091.00	5
13-1151.00	11-2021.00	6
13-1151.00	25-1122.00	7
13-1151.00	13-1161.00	8
13-1151.00	11-9199.01	9
13-1151.00	11-2031.00	10
13-1161.00	13-2099.02	1
13-1161.00	19-3022.00	2
13-1161.00	11-2021.00	3
13-1161.00	13-2051.00	4
13-1161.00	13-1141.00	5
13-1161.00	11-3111.00	6
13-1161.00	13-1111.00	7
13-1161.00	27-3031.00	8
13-1161.00	13-1041.07	9
13-1161.00	11-2011.00	10
13-1199.01	47-4011.00	1
13-1199.01	17-3025.00	2
13-1199.01	29-9012.00	3
13-1199.01	19-1031.01	4
13-1199.01	17-3031.01	5
13-1199.01	17-3022.00	6
13-1199.01	17-2199.03	7
13-1199.01	19-4091.00	8
13-1199.01	49-2098.00	9
13-1199.01	53-6041.00	10
13-1199.03	13-2072.00	1
13-1199.03	41-3041.00	2
13-1199.03	43-4041.01	3
13-1199.03	11-3011.00	4
13-1199.03	43-4011.00	5
13-1199.03	43-3061.00	6
13-1199.03	43-1011.00	7
13-1199.03	23-2093.00	8
13-1199.03	43-4131.00	9
13-1199.03	13-1021.00	10
13-2011.01	13-2031.00	1
13-2011.01	13-2041.00	2
13-2011.01	13-2051.00	3
13-2011.01	13-1141.00	4
13-2011.01	13-2011.02	5
13-2011.01	13-2053.00	6
13-2011.01	13-2052.00	7
13-2011.01	13-2099.02	8
13-2011.01	43-3031.00	9
13-2011.01	11-3111.00	10
13-2011.02	13-2099.02	1
13-2011.02	13-2051.00	2
13-2011.02	11-3111.00	3
13-2011.02	13-1161.00	4
13-2011.02	13-2011.01	5
13-2011.02	13-2061.00	6
13-2011.02	13-1141.00	7
13-2011.02	13-2031.00	8
13-2011.02	13-1051.00	9
13-2011.02	11-3031.01	10
13-2021.01	13-1031.02	1
13-2021.01	13-2021.02	2
13-2021.01	41-9021.00	3
13-2021.01	13-2081.00	4
13-2021.01	41-9022.00	5
13-2021.01	17-3022.00	6
13-2021.01	11-3011.00	7
13-2021.01	13-1021.00	8
13-2021.01	43-3061.00	9
13-2021.01	19-4061.01	10
13-2021.02	13-2021.01	1
13-2021.02	19-4061.01	2
13-2021.02	13-1031.02	3
13-2021.02	13-1031.01	4
13-2021.02	41-9021.00	5
13-2021.02	53-6051.08	6
13-2021.02	13-1023.00	7
13-2021.02	13-2041.00	8
13-2021.02	41-9022.00	9
13-2021.02	41-3021.00	10
13-2031.00	13-2011.01	1
13-2031.00	13-1141.00	2
13-2031.00	13-2051.00	3
13-2031.00	13-2041.00	4
13-2031.00	13-2011.02	5
13-2031.00	11-3111.00	6
13-2031.00	13-2099.02	7
13-2031.00	13-1161.00	8
13-2031.00	13-2052.00	9
13-2031.00	43-3031.00	10
13-2041.00	13-2011.01	1
13-2041.00	13-2031.00	2
13-2041.00	13-2053.00	3
13-2041.00	13-1141.00	4
13-2041.00	13-2052.00	5
13-2041.00	13-2051.00	6
13-2041.00	43-3031.00	7
13-2041.00	43-4011.00	8
13-2041.00	13-2011.02	9
13-2041.00	43-4131.00	10
13-2051.00	13-2011.02	1
13-2051.00	13-2011.01	2
13-2051.00	13-2031.00	3
13-2051.00	13-2099.02	4
13-2051.00	13-1161.00	5
13-2051.00	11-3111.00	6
13-2051.00	13-1141.00	7
13-2051.00	13-2052.00	8
13-2051.00	13-2061.00	9
13-2051.00	13-2041.00	10
13-2052.00	41-3031.02	1
13-2052.00	41-3031.01	2
13-2052.00	41-3021.00	3
13-2052.00	13-2041.00	4
13-2052.00	13-2072.00	5
13-2052.00	13-2051.00	6
13-2052.00	13-1161.00	7
13-2052.00	13-2031.00	8
13-2052.00	13-1141.00	9
13-2052.00	11-3031.02	10
13-2053.00	13-2041.00	1
13-2053.00	13-2011.01	2
13-2053.00	13-2052.00	3
13-2053.00	13-2031.00	4
13-2053.00	13-1141.00	5
13-2053.00	13-1041.07	6
13-2053.00	15-2041.02	7
13-2053.00	13-1161.00	8
13-2053.00	11-3111.00	9
13-2053.00	13-1031.01	10
13-2061.00	13-2099.02	1
13-2061.00	13-2051.00	2
13-2061.00	11-3111.00	3
13-2061.00	11-3031.02	4
13-2061.00	13-2099.04	5
13-2061.00	13-1161.00	6
13-2061.00	11-3121.00	7
13-2061.00	13-1041.07	8
13-2061.00	13-1111.00	9
13-2061.00	13-2031.00	10
13-2071.01	13-2099.04	1
13-2071.01	41-3031.01	2
13-2071.01	11-3031.02	3
13-2071.01	41-3031.02	4
13-2071.01	41-3021.00	5
13-2071.01	11-2022.00	6
13-2071.01	13-1041.03	7
13-2071.01	13-1071.00	8
13-2071.01	13-2051.00	9
13-2071.01	13-2072.00	10
13-2072.00	41-3021.00	1
13-2072.00	13-1199.03	2
13-2072.00	13-2082.00	3
13-2072.00	43-4131.00	4
13-2072.00	43-4011.00	5
13-2072.00	13-2052.00	6
13-2072.00	41-3031.02	7
13-2072.00	41-9022.00	8
13-2072.00	43-4041.01	9
13-2072.00	43-4061.00	10
13-2081.00	13-2072.00	1
13-2081.00	43-4011.00	2
13-2081.00	43-4131.00	3
13-2081.00	43-4061.00	4
13-2081.00	43-4161.00	5
13-2081.00	13-2082.00	6
13-2081.00	43-4031.02	7
13-2081.00	11-3011.00	8
13-2081.00	43-3061.00	9
13-2081.00	43-3031.00	10
13-2082.00	43-4011.00	1
13-2082.00	43-3031.00	2
13-2082.00	13-2072.00	3
13-2082.00	13-2081.00	4
13-2082.00	43-4131.00	5
13-2082.00	43-3021.02	6
13-2082.00	23-2093.00	7
13-2082.00	13-2011.01	8
13-2082.00	13-2041.00	9
13-2082.00	13-2052.00	10
13-2099.02	13-1051.00	1
13-2099.02	13-1161.00	2
13-2099.02	13-2051.00	3
13-2099.02	11-3111.00	4
13-2099.02	13-1081.02	5
13-2099.02	13-2031.00	6
13-2099.02	11-9199.04	7
13-2099.02	13-1041.07	8
13-2099.02	13-2099.04	9
13-2099.02	13-1111.00	10
13-2099.04	13-1111.00	1
13-2099.04	13-1071.00	2
13-2099.04	13-2099.02	3
13-2099.04	13-2011.02	4
13-2099.04	13-1023.00	5
13-2099.04	13-1031.01	6
13-2099.04	11-3071.03	7
13-2099.04	11-3121.00	8
13-2099.04	13-2051.00	9
13-2099.04	13-2061.00	10
15-1111.00	19-2099.01	1
15-1111.00	15-1199.02	2
15-1111.00	15-1133.00	3
15-1111.00	15-1121.00	4
15-1111.00	25-1021.00	5
15-1111.00	15-2031.00	6
15-1111.00	15-2041.00	7
15-1111.00	15-1132.00	8
15-1111.00	15-1143.00	9
15-1111.00	15-1141.00	10
15-1121.00	15-1133.00	1
15-1121.00	15-1199.01	2
15-1121.00	15-1143.00	3
15-1121.00	15-1141.00	4
15-1121.00	15-1132.00	5
15-1121.00	15-1142.00	6
15-1121.00	15-1122.00	7
15-1121.00	15-1134.00	8
15-1121.00	15-1199.03	9
15-1121.00	15-1131.00	10
15-1121.01	11-3021.00	1
15-1121.01	15-1121.00	2
15-1121.01	15-1122.00	3
15-1121.01	15-1199.01	4
15-1121.01	15-1133.00	5
15-1121.01	13-1081.01	6
15-1121.01	13-1151.00	7
15-1121.01	15-1111.00	8
15-1121.01	19-4061.00	9
15-1121.01	11-9121.01	10
15-1122.00	15-1121.00	1
15-1122.00	15-1143.00	2
15-1122.00	15-1199.02	3
15-1122.00	15-1133.00	4
15-1122.00	13-1081.02	5
15-1122.00	15-1199.01	6
15-1122.00	15-1199.03	7
15-1122.00	17-2199.02	8
15-1122.00	15-1141.00	9
15-1122.00	11-3021.00	10
15-1131.00	15-1133.00	1
15-1131.00	15-1132.00	2
15-1131.00	15-1141.00	3
15-1131.00	15-1199.01	4
15-1131.00	15-1121.00	5
15-1131.00	15-1134.00	6
15-1131.00	19-4061.00	7
15-1131.00	15-1199.05	8
15-1131.00	43-9111.00	9
15-1131.00	43-9011.00	10
15-1132.00	15-1121.00	1
15-1132.00	15-1133.00	2
15-1132.00	15-1199.01	3
15-1132.00	15-1141.00	4
15-1132.00	15-1131.00	5
15-1132.00	15-1199.02	6
15-1132.00	15-1143.00	7
15-1132.00	15-1134.00	8
15-1132.00	15-1142.00	9
15-1132.00	15-1122.00	10
15-1133.00	15-1121.00	1
15-1133.00	15-1199.02	2
15-1133.00	15-1141.00	3
15-1133.00	15-1132.00	4
15-1133.00	15-1199.01	5
15-1133.00	15-1143.00	6
15-1133.00	15-1131.00	7
15-1133.00	15-1134.00	8
15-1133.00	15-1122.00	9
15-1133.00	15-1199.05	10
15-1134.00	15-1199.03	1
